"u","c","prob_ruina","utilidad_prom"
12,0.5,0.944,-25.9611725486069
13,0.5,0.948,-29.2719828796834
14,0.5,0.924,-30.0739765907948
15,0.5,0.908,-31.6547522976275
16,0.5,0.904,-33.1600394587023
17,0.5,0.908,-34.8734136704428
18,0.5,0.896,-36.7989061094568
19,0.5,0.904,-38.0683646808013
20,0.5,0.892,-40.2286891310615
21,0.5,0.848,-41.6637797356416
22,0.5,0.84,-44.2881354987864
23,0.5,0.828,-44.8769375258439
24,0.5,0.836,-45.3946600502223
25,0.5,0.812,-45.6054094907169
26,0.5,0.796,-47.5773545224326
27,0.5,0.796,-48.9638860631363
28,0.5,0.788,-51.6522811029896
29,0.5,0.768,-52.6121856459592
30,0.5,0.764,-54.2353113732016
31,0.5,0.7,-57.2578327043307
32,0.5,0.732,-57.7006682861398
33,0.5,0.668,-57.3723755715003
34,0.5,0.68,-59.4488366694324
35,0.5,0.704,-61.4491398636966
36,0.5,0.656,-61.204175458381
12,0.75,0.704,-28.6172238233489
13,0.75,0.704,-31.6546919145799
14,0.75,0.628,-31.4550644935955
15,0.75,0.632,-32.6454883591751
16,0.75,0.608,-33.5505318721343
17,0.75,0.584,-34.4130979260627
18,0.75,0.556,-35.6555188341234
19,0.75,0.644,-37.47641719809
20,0.75,0.528,-37.4630353363134
21,0.75,0.54,-40.2127918734442
22,0.75,0.5,-40.5624727589245
23,0.75,0.492,-41.8639876953029
24,0.75,0.496,-42.3909687137441
25,0.75,0.468,-43.0764706751979
26,0.75,0.432,-42.6802849626796
27,0.75,0.368,-43.0253289799371
28,0.75,0.408,-45.9442654622814
29,0.75,0.332,-45.4481611227437
30,0.75,0.352,-47.2258405260496
31,0.75,0.308,-46.338916139815
32,0.75,0.296,-47.01470905946
33,0.75,0.304,-48.0912731673414
34,0.75,0.252,-48.6150111753865
35,0.75,0.236,-47.3641143698997
36,0.75,0.26,-50.3441824323068
12,1,0.404,-19.0131108621532
13,1,0.34,-18.1723276629225
14,1,0.36,-19.8847031014529
15,1,0.32,-18.4794564816532
16,1,0.316,-19.6312566515195
17,1,0.24,-19.5903505582076
18,1,0.236,-20.8759339535036
19,1,0.232,-20.6944951976807
20,1,0.24,-22.5894616033717
21,1,0.228,-21.8564756135819
22,1,0.176,-20.1767419156996
23,1,0.14,-19.7864242864262
24,1,0.148,-24.6280838392451
25,1,0.104,-20.1142814000995
26,1,0.128,-23.3352389521216
27,1,0.172,-22.1004056493591
28,1,0.128,-24.7909195981668
29,1,0.104,-22.6846160336113
30,1,0.1,-26.4591830793308
31,1,0.116,-22.6441738821976
32,1,0.08,-22.9713596144544
33,1,0.1,-24.6541105752041
34,1,0.108,-24.0512486579392
35,1,0.044,-21.5523152434834
36,1,0.052,-22.5658566224018
12,1.25,0.156,6.20373391132887
13,1.25,0.136,7.35748003731697
14,1.25,0.116,2.68994316978192
15,1.25,0.132,4.46971231985684
16,1.25,0.088,4.91113983418383
17,1.25,0.108,4.34640886701404
18,1.25,0.1,6.14977215284983
19,1.25,0.076,5.84665668863199
20,1.25,0.072,7.46848168858218
21,1.25,0.052,8.26549422009174
22,1.25,0.032,7.17390233369295
23,1.25,0.044,6.3580251790434
24,1.25,0.044,5.68289524906095
25,1.25,0.032,6.59452861318281
26,1.25,0.028,6.20307719426398
27,1.25,0.032,5.5564541713259
28,1.25,0.036,6.48706152495268
29,1.25,0.02,4.92861241670074
30,1.25,0.024,5.33172478077705
31,1.25,0.016,4.86537142199562
32,1.25,0.024,5.20159862580006
33,1.25,0.024,3.93633501318934
34,1.25,0.016,3.29789144656443
35,1.25,0.008,5.87115500603668
36,1.25,0.008,4.97126945028363
12,1.5,0.08,34.7870381564498
13,1.5,0.072,34.5664859012855
14,1.5,0.056,33.0086540268897
15,1.5,0.068,32.3271112503319
16,1.5,0.044,36.4781025026334
17,1.5,0.02,35.8386527021604
18,1.5,0.048,32.1812487413741
19,1.5,0.036,34.074852926097
20,1.5,0.04,32.7813200642957
21,1.5,0.008,34.6847561080267
22,1.5,0.016,36.6000535642281
23,1.5,0.004,37.4154591578761
24,1.5,0,35.8350788591101
25,1.5,0.008,34.7191642718588
26,1.5,0.008,33.9331633575283
27,1.5,0.008,34.6676761508573
28,1.5,0.012,34.6845266047657
29,1.5,0.012,35.1471759521219
30,1.5,0,35.2364406731793
31,1.5,0,39.8524469484836
32,1.5,0,36.8924080226004
33,1.5,0,37.675575971155
34,1.5,0.008,37.1436954593176
35,1.5,0.012,34.6222666916492
36,1.5,0,36.5291771917238
12,1.75,0.056,64.092071658735
13,1.75,0.008,66.917532235837
14,1.75,0.04,62.1687408356036
15,1.75,0.012,66.1500796156667
16,1.75,0.012,67.9166690059917
17,1.75,0.012,65.9622708460786
18,1.75,0.008,65.2524945200605
19,1.75,0.016,67.1716509393633
20,1.75,0.004,65.9799507023175
21,1.75,0.004,66.3250076983646
22,1.75,0.012,66.727611567958
23,1.75,0.008,65.9438423348963
24,1.75,0.004,69.3136282806682
25,1.75,0,66.2763281138006
26,1.75,0,67.4325916820554
27,1.75,0,67.2701276912664
28,1.75,0.004,65.9806529320384
