"u","c","prob_ruina","utilidad_prom"
12,0.5,0.944,-26.2717628900013
13,0.5,0.952,-28.8939639758488
14,0.5,0.952,-28.2681683883293
15,0.5,0.944,-32.6682862223958
16,0.5,0.932,-32.9441497480843
17,0.5,0.932,-36.1536250182907
18,0.5,0.932,-36.1807180917596
19,0.5,0.9,-37.9007403952151
20,0.5,0.88,-40.7731994216405
21,0.5,0.876,-41.2670828817374
22,0.5,0.86,-44.8975530114058
23,0.5,0.872,-44.7600279372509
24,0.5,0.816,-46.9540044985577
25,0.5,0.812,-48.7555361934197
26,0.5,0.804,-49.2871589953311
27,0.5,0.808,-51.172803614895
28,0.5,0.784,-52.7765830720746
29,0.5,0.788,-53.291422366264
30,0.5,0.768,-55.2382547318438
31,0.5,0.764,-57.5826170948483
32,0.5,0.7,-58.6579430890049
33,0.5,0.724,-59.3692565646529
34,0.5,0.68,-59.9568061839794
35,0.5,0.692,-62.0350096209647
36,0.5,0.672,-61.8290728848267
12,0.75,0.68,-28.6604980372789
13,0.75,0.704,-29.6138571239937
14,0.75,0.636,-32.144427099714
15,0.75,0.648,-34.2423564204615
16,0.75,0.62,-34.8127952953948
17,0.75,0.556,-36.6248613818515
18,0.75,0.504,-38.0533554742573
19,0.75,0.472,-36.711855679403
20,0.75,0.508,-39.5970646563008
21,0.75,0.472,-40.7441913293139
22,0.75,0.416,-40.8080751432138
23,0.75,0.46,-42.1683518573736
24,0.75,0.484,-43.5997753370103
25,0.75,0.38,-45.5070109535756
26,0.75,0.376,-44.2080468308633
27,0.75,0.348,-45.0553033617474
28,0.75,0.324,-46.7808310612893
29,0.75,0.36,-46.8760179667614
30,0.75,0.284,-48.4813957425624
31,0.75,0.34,-49.8696258553063
32,0.75,0.296,-49.6443021875451
33,0.75,0.252,-48.0083474334141
34,0.75,0.252,-48.9046429796161
35,0.75,0.272,-51.9954975585912
36,0.75,0.168,-50.0702824981932
12,1,0.332,-18.5892630923899
13,1,0.304,-18.3270160101932
14,1,0.272,-21.7106602413292
15,1,0.232,-21.4541281447617
16,1,0.204,-21.2839397823899
17,1,0.192,-21.4568205153075
18,1,0.224,-21.556522898151
19,1,0.176,-22.5258919643762
20,1,0.132,-21.0450363246503
21,1,0.096,-22.9291647221933
22,1,0.1,-22.5214945573885
23,1,0.108,-21.0211456496017
24,1,0.088,-23.3809200869605
25,1,0.108,-24.7891604791795
26,1,0.084,-23.2503011729026
27,1,0.068,-23.1098604897066
28,1,0.072,-22.636247224898
29,1,0.024,-21.5040006851103
30,1,0.044,-21.1744760626397
31,1,0.04,-21.57642336222
