"u","c","prob_ruina","utilidad_prom"
12,0.5,0.872,-33.7838897796225
13,0.5,0.868,-34.8077711894994
14,0.5,0.836,-36.4702924309209
15,0.5,0.832,-35.6844010788606
16,0.5,0.8,-39.0573274108557
17,0.5,0.816,-40.5743428078904
18,0.5,0.792,-41.4044734118209
19,0.5,0.768,-41.8497808149718
20,0.5,0.736,-44.3875194320561
21,0.5,0.744,-43.5190715842004
22,0.5,0.752,-48.650320433028
23,0.5,0.768,-48.3547819672337
24,0.5,0.756,-49.4423758648175
25,0.5,0.716,-51.0992659875356
26,0.5,0.676,-50.8815771076398
27,0.5,0.676,-52.9267689066263
28,0.5,0.672,-52.3549499811892
29,0.5,0.676,-55.1939457090774
30,0.5,0.676,-55.4033948879663
31,0.5,0.66,-55.6182941414968
32,0.5,0.64,-56.0937309080663
33,0.5,0.592,-58.1531981208199
34,0.5,0.6,-56.9050978137367
35,0.5,0.612,-60.9217365907278
36,0.5,0.548,-61.644630332648
12,0.75,0.656,-31.2700045485267
13,0.75,0.612,-33.0530078212667
14,0.75,0.644,-28.7976927394629
15,0.75,0.644,-32.4580635872112
16,0.75,0.572,-31.4528272448459
17,0.75,0.588,-33.9031891849792
18,0.75,0.548,-33.6860321765764
19,0.75,0.528,-32.4847883040039
20,0.75,0.56,-36.3027476834347
21,0.75,0.568,-38.0523102220248
22,0.75,0.484,-36.7609993067441
23,0.75,0.516,-38.6622448136826
24,0.75,0.452,-37.5841315785217
25,0.75,0.384,-35.4661096419405
26,0.75,0.412,-36.7149230465767
27,0.75,0.496,-40.3434224799516
28,0.75,0.452,-42.0549046701247
29,0.75,0.372,-39.5833426364886
30,0.75,0.448,-41.6992432894932
31,0.75,0.42,-43.7477732241167
32,0.75,0.396,-41.7433832940338
33,0.75,0.38,-43.8327001790579
34,0.75,0.336,-41.1319240108268
35,0.75,0.356,-43.5167946770425
36,0.75,0.396,-45.8171816650521
12,1,0.436,-10.897382408643
13,1,0.436,-14.153727539225
14,1,0.44,-15.6696919443414
15,1,0.376,-11.956346873982
16,1,0.416,-19.548458058622
17,1,0.38,-16.0563155346522
18,1,0.416,-20.4440543989271
19,1,0.372,-18.316121596008
20,1,0.348,-16.6273239725593
21,1,0.348,-17.9351602409697
22,1,0.304,-21.7672404731831
23,1,0.356,-20.6282234792586
24,1,0.268,-19.0546484723601
25,1,0.328,-22.0317802975692
26,1,0.28,-21.5694548650869
27,1,0.304,-24.4029088723686
28,1,0.272,-19.6636824800865
29,1,0.24,-20.6700157797852
30,1,0.264,-17.997533491746
31,1,0.264,-22.930828328276
32,1,0.268,-20.3612023968289
33,1,0.224,-18.958359720148
34,1,0.268,-23.4836911698416
35,1,0.216,-23.3877204776128
36,1,0.212,-24.039997164963
12,1.25,0.356,5.11323754624526
13,1.25,0.312,7.69354931562556
14,1.25,0.26,9.19827170058576
15,1.25,0.316,3.37645463479831
16,1.25,0.248,6.03741193216899
17,1.25,0.22,9.72043457932163
18,1.25,0.236,6.4587610063634
19,1.25,0.248,2.42495494929063
20,1.25,0.264,4.95578710498382
21,1.25,0.212,11.1568696587052
22,1.25,0.204,7.42149681391437
23,1.25,0.232,2.25789835841726
24,1.25,0.212,4.02118435897883
25,1.25,0.156,9.95379492449341
26,1.25,0.184,9.36864954808071
27,1.25,0.148,10.2015645101135
28,1.25,0.172,5.99648899672171
29,1.25,0.2,5.78994160441346
30,1.25,0.172,4.28933140102482
31,1.25,0.148,5.0833714352814
32,1.25,0.172,4.52675344568339
33,1.25,0.136,7.7135266383461
34,1.25,0.124,4.02918137879203
35,1.25,0.124,7.00159359943163
36,1.25,0.096,7.29323316444484
12,1.5,0.256,27.6105884207543
13,1.5,0.256,27.2897782125023
14,1.5,0.22,29.5636047367853
15,1.5,0.252,27.5746891705485
16,1.5,0.24,27.6039302605205
17,1.5,0.16,30.2504634431005
18,1.5,0.248,24.3259043035521
19,1.5,0.168,28.6743335171723
20,1.5,0.176,31.1286879777953
21,1.5,0.192,25.0885595322406
22,1.5,0.148,34.315562369626
23,1.5,0.16,29.3582175012311
24,1.5,0.132,35.4957630583999
25,1.5,0.108,33.6539948534044
26,1.5,0.128,32.4674592715145
27,1.5,0.112,33.7139512269572
28,1.5,0.124,30.6739441964613
29,1.5,0.124,33.3813138852734
30,1.5,0.08,37.2593460754029
31,1.5,0.096,33.4125595305649
32,1.5,0.096,37.3334365016748
33,1.5,0.08,33.5594906832833
34,1.5,0.116,25.8362106068691
35,1.5,0.068,37.7893131892181
36,1.5,0.12,30.3123406057872
12,1.75,0.148,57.7403980910112
13,1.75,0.176,55.3359570829766
14,1.75,0.172,58.9793542590471
15,1.75,0.164,58.888178924006
16,1.75,0.208,51.1466294977854
17,1.75,0.112,65.0618825689718
18,1.75,0.152,56.097662440506
19,1.75,0.168,50.512314399416
20,1.75,0.16,54.2148818949089
21,1.75,0.144,57.9883743327501
22,1.75,0.088,63.2848373996685
23,1.75,0.14,58.8635559633889
24,1.75,0.088,61.2784569765371
25,1.75,0.112,65.2380738849755
26,1.75,0.108,57.3813755182009
27,1.75,0.1,57.3161419033865
28,1.75,0.092,60.2460823390227
29,1.75,0.096,61.3255803431293
30,1.75,0.096,59.9821503665886
31,1.75,0.064,63.2984638392391
32,1.75,0.108,58.8687214198415
33,1.75,0.068,59.2112431150053
34,1.75,0.068,61.7210362155069
35,1.75,0.076,59.6496477680724
36,1.75,0.084,56.4827564806345
12,2,0.156,84.1845305985217
13,2,0.136,85.3230172096471
14,2,0.176,77.9812903269422
15,2,0.092,90.85214065183
16,2,0.132,85.9437705106884
17,2,0.14,85.1865199472755
18,2,0.108,88.9744379554718
19,2,0.132,83.0835300822868
20,2,0.124,86.2174710367732
21,2,0.068,93.9469019084563
22,2,0.076,90.7079907218812
23,2,0.076,85.2957124282792
24,2,0.084,92.7950517182223
25,2,0.072,90.2246422110948
26,2,0.08,89.2738220702281
27,2,0.068,88.0237482889783
28,2,0.06,93.458741407943
29,2,0.044,94.7534412220502
30,2,0.084,89.9691845933935
31,2,0.048,95.3902041568327
32,2,0.06,90.9890155329064
33,2,0.048,93.6357238205393
34,2,0.052,90.7714146610119
35,2,0.04,93.5765542892796
36,2,0.056,92.3020198622849
12,2.25,0.156,106.7443780005
13,2.25,0.116,114.343972740957
14,2.25,0.132,112.81097320882
15,2.25,0.108,114.31910703261
16,2.25,0.076,119.878121538054
17,2.25,0.112,111.374829889864
18,2.25,0.128,109.884235238159
19,2.25,0.104,110.967749777782
20,2.25,0.08,116.11258713959
21,2.25,0.06,118.78411584965
22,2.25,0.084,111.275154577234
23,2.25,0.068,117.257471730129
24,2.25,0.06,119.758177617686
25,2.25,0.044,122.86412766397
26,2.25,0.04,122.319215853232
27,2.25,0.06,120.454274439968
28,2.25,0.084,112.650276998532
29,2.25,0.044,122.384900560951
30,2.25,0.056,115.719405795342
31,2.25,0.04,119.768203280581
32,2.25,0.036,127.749605144396
33,2.25,0.036,123.239407890489
34,2.25,0.008,125.2776799065
35,2.25,0.052,120.691757986713
36,2.25,0.04,122.750964044692
12,2.5,0.1,143.926667769865
13,2.5,0.096,140.598400442418
14,2.5,0.104,136.815211301507
15,2.5,0.088,146.934734298567
16,2.5,0.1,140.317282673304
17,2.5,0.076,144.375070224833
18,2.5,0.084,145.812781307771
19,2.5,0.048,147.924259190064
20,2.5,0.056,151.059148072196
21,2.5,0.068,144.939544658488
22,2.5,0.064,148.093814485638
23,2.5,0.044,148.009419014315
24,2.5,0.048,144.446932751774
25,2.5,0.048,147.002514517844
26,2.5,0.048,150.825088262698
27,2.5,0.056,149.426623830845
28,2.5,0.032,155.581847359071
29,2.5,0.016,158.429212082654
30,2.5,0.04,153.620563042914
31,2.5,0.052,144.036855952364
32,2.5,0.052,149.324161231531
33,2.5,0.052,150.052311267451
34,2.5,0.036,149.372953322117
35,2.5,0.028,155.76324423193
36,2.5,0.028,153.259801203158
12,2.75,0.112,166.788469123593
13,2.75,0.112,163.560888427987
14,2.75,0.104,170.149382627885
15,2.75,0.076,174.261967267708
16,2.75,0.06,175.889601702865
17,2.75,0.06,172.0086770871
18,2.75,0.076,170.648750703521
19,2.75,0.04,175.415100544564
20,2.75,0.052,179.162822667748
21,2.75,0.084,163.02071498796
22,2.75,0.068,172.616131007573
23,2.75,0.02,180.41842895865
24,2.75,0.04,181.05087187754
25,2.75,0.024,182.429074239039
26,2.75,0.064,175.055640937866
27,2.75,0.048,178.952084613548
28,2.75,0.036,175.10027398921
29,2.75,0.04,180.915023873685
30,2.75,0.024,181.353735826181
31,2.75,0.036,177.581828344643
32,2.75,0.024,187.916116439405
33,2.75,0.044,174.092655075527
34,2.75,0.028,180.584550746755
35,2.75,0.024,184.771571792751
36,2.75,0.02,182.263285887951
12,3,0.064,209.024410059909
13,3,0.088,193.085159685077
14,3,0.072,201.600244232612
15,3,0.08,204.411148599099
16,3,0.052,208.910439940835
17,3,0.072,200.458276143051
18,3,0.088,198.65330592655
19,3,0.052,201.856304578457
20,3,0.06,201.836697740125
21,3,0.032,210.529544527674
22,3,0.04,212.223864861477
23,3,0.044,209.867165120043
24,3,0.028,212.762847637839
25,3,0.044,210.157632063704
26,3,0.06,201.222922059174
27,3,0.04,210.242128570576
28,3,0.072,201.275657484709
29,3,0.044,207.716697855842
30,3,0.044,203.823988732407
31,3,0.032,208.300265055611
32,3,0.008,214.88861568522
33,3,0.036,208.286843115782
34,3,0.04,208.104965524617
35,3,0.032,211.118197680171
36,3,0.02,216.467496078438
