"u","c","prob_ruina","utilidad_prom"
12,0.5,0.944,-26.3745799249788
13,0.5,0.932,-29.5800707998396
14,0.5,0.936,-30.6405526924944
15,0.5,0.932,-32.2678427023343
16,0.5,0.912,-33.8491478875414
17,0.5,0.876,-37.0550884884491
18,0.5,0.904,-38.6495355756912
19,0.5,0.892,-39.3966398947361
20,0.5,0.892,-40.5011743397807
21,0.5,0.828,-43.4642639008128
22,0.5,0.864,-45.08068266062
23,0.5,0.852,-46.184333088959
24,0.5,0.812,-48.9276999835144
25,0.5,0.788,-49.0142482453908
26,0.5,0.848,-51.3283540453536
27,0.5,0.828,-51.133054208143
28,0.5,0.804,-54.6464240418876
29,0.5,0.728,-55.7446928958292
30,0.5,0.74,-57.1248813453238
31,0.5,0.74,-58.1294491997559
32,0.5,0.736,-58.1728557806098
33,0.5,0.692,-60.8016228304204
34,0.5,0.672,-62.6216698901219
35,0.5,0.636,-63.6115979850523
36,0.5,0.636,-63.8802945539381
12,0.75,0.668,-31.0837549458088
13,0.75,0.66,-31.2058812866776
14,0.75,0.656,-33.5088571407836
15,0.75,0.568,-37.5922329679455
16,0.75,0.524,-36.3455179782564
17,0.75,0.544,-36.9470755557236
18,0.75,0.592,-37.2222231716141
19,0.75,0.544,-40.3662259657619
20,0.75,0.444,-40.8026221800361
21,0.75,0.436,-41.2170619160371
22,0.75,0.468,-43.1529176014822
23,0.75,0.388,-42.8307935081482
24,0.75,0.472,-44.3927817244816
25,0.75,0.372,-45.4829604858228
26,0.75,0.316,-46.2959926104152
27,0.75,0.36,-47.1748462591073
28,0.75,0.3,-45.7401567395461
29,0.75,0.268,-48.4172369671036
30,0.75,0.276,-47.3099692458638
31,0.75,0.248,-46.8696721754961
32,0.75,0.22,-48.7907974473933
33,0.75,0.248,-50.3332261969208
34,0.75,0.184,-49.5031616109183
35,0.75,0.236,-50.5512188731483
36,0.75,0.188,-49.9949323380743
12,1,0.3,-19.141681326534
13,1,0.288,-18.1999185214596
14,1,0.264,-18.4480099443246
15,1,0.292,-20.871171740212
16,1,0.196,-19.4589538523504
17,1,0.164,-23.3045683173311
18,1,0.168,-21.7183742834269
19,1,0.18,-21.6158113586805
20,1,0.132,-22.3314725333584
21,1,0.144,-21.4287906297458
22,1,0.14,-22.7705192592783
23,1,0.16,-24.1244859692419
24,1,0.108,-22.1447412260089
25,1,0.088,-22.2877235697599
26,1,0.096,-22.6924940185996
27,1,0.076,-24.1101739988903
28,1,0.072,-22.8435147214648
29,1,0.08,-27.0878482119407
30,1,0.064,-22.1776870834417
31,1,0.052,-23.8494388466474
32,1,0.064,-21.9815229496259
33,1,0.072,-24.1262400763403
34,1,0.06,-23.5873471685823
35,1,0.048,-23.3377204604895
36,1,0.056,-24.7222325256216
12,1.25,0.128,5.31738114312086
13,1.25,0.1,4.55070997208369
14,1.25,0.08,4.72285530852362
15,1.25,0.06,6.59316787323987
16,1.25,0.1,4.77121902371451
17,1.25,0.068,7.68066174607906
18,1.25,0.044,8.50672073716895
19,1.25,0.044,5.77780011543298
20,1.25,0.06,6.168853629475
21,1.25,0.048,5.19691690297429
22,1.25,0.024,8.50339658881378
23,1.25,0.032,4.46521184821522
24,1.25,0.032,5.71959223765375
25,1.25,0.016,4.91807197106522
26,1.25,0.016,5.5809728920653
27,1.25,0,5.97247639556913
28,1.25,0.02,4.86114537733067
29,1.25,0.012,7.22750250146273
30,1.25,0.016,3.99131779133273
31,1.25,0.016,6.70501585077655
32,1.25,0.016,7.33984200020602
33,1.25,0.012,5.89521898031555
