"u","c","prob_ruina","utilidad_prom"
12,0.5,0.956,-26.6410578686416
13,0.5,0.928,-30.5402033071404
14,0.5,0.924,-31.1879658001167
15,0.5,0.936,-33.2065977768174
16,0.5,0.908,-34.1527859509078
17,0.5,0.912,-36.9625910028129
18,0.5,0.908,-38.0702132488139
19,0.5,0.904,-39.7202550705549
20,0.5,0.884,-42.962112965879
21,0.5,0.852,-43.7199425063845
22,0.5,0.896,-43.0620665547197
23,0.5,0.84,-47.2251137960436
24,0.5,0.788,-50.2139925650567
25,0.5,0.816,-50.0710919315693
26,0.5,0.852,-50.3650525659825
27,0.5,0.772,-51.5353036628656
28,0.5,0.776,-53.3584889082914
29,0.5,0.784,-53.7347116682304
30,0.5,0.764,-55.6858214103457
31,0.5,0.748,-58.0443195936751
32,0.5,0.768,-59.5619942503711
33,0.5,0.696,-60.5158393624738
34,0.5,0.664,-61.7641445068457
35,0.5,0.652,-61.7142192412045
36,0.5,0.64,-62.7847002635462
12,0.75,0.704,-30.0039751123375
13,0.75,0.628,-31.7299448498622
14,0.75,0.676,-33.6053874738707
15,0.75,0.588,-33.6335211681332
16,0.75,0.516,-37.4771541194815
17,0.75,0.568,-37.793484409543
18,0.75,0.504,-38.2163842658204
19,0.75,0.532,-39.0595462153
20,0.75,0.488,-39.3951400311172
21,0.75,0.488,-41.9413001088987
22,0.75,0.488,-43.9196491220095
23,0.75,0.42,-42.1952496106876
24,0.75,0.356,-43.3893336394027
25,0.75,0.436,-44.6918436936307
26,0.75,0.344,-42.5023917341445
27,0.75,0.38,-46.0040169104106
28,0.75,0.376,-46.6084548493179
29,0.75,0.304,-47.3237433793062
30,0.75,0.256,-46.1794989294482
31,0.75,0.232,-48.1656341394389
32,0.75,0.256,-49.4271064847972
33,0.75,0.26,-49.5007992057857
34,0.75,0.208,-47.8497044352637
35,0.75,0.236,-49.0060009498312
36,0.75,0.208,-50.623075573323
12,1,0.336,-18.4339712698957
13,1,0.304,-20.3296715495883
14,1,0.264,-21.8018829246503
15,1,0.232,-19.2283627439819
16,1,0.22,-21.1166089912334
17,1,0.212,-19.4678850185408
18,1,0.168,-22.4810600957926
19,1,0.144,-22.0491214728311
20,1,0.148,-21.1176828535022
21,1,0.128,-22.4508571524096
22,1,0.116,-22.6244071698707
23,1,0.124,-20.4427870062126
24,1,0.072,-22.5640119415825
25,1,0.076,-21.0822336064143
26,1,0.092,-24.7365640066175
27,1,0.068,-24.4236564775222
28,1,0.052,-22.0349702899762
29,1,0.044,-20.8806576139249
30,1,0.048,-23.9894658201472
31,1,0.036,-22.3936348738804
32,1,0.064,-23.5085644241971
33,1,0.016,-21.1402059859353
34,1,0.036,-20.2627423295709
35,1,0.024,-23.0337961750164
36,1,0.016,-22.6550906289444
12,1.25,0.112,6.69797462781078
13,1.25,0.064,7.2620304551454
14,1.25,0.08,6.37145451935688
15,1.25,0.068,6.09937892618797
16,1.25,0.072,5.70428803472504
17,1.25,0.04,7.12716458474046
18,1.25,0.06,4.81583279771341
19,1.25,0.028,5.89297780363409
20,1.25,0.04,5.69748051078528
21,1.25,0.02,6.25847025629948
22,1.25,0.028,4.45026469286686
23,1.25,0.02,8.04226605818907
24,1.25,0.004,7.10994949619214
25,1.25,0.02,7.90735898849496
26,1.25,0.02,5.09838517333433
27,1.25,0.02,6.40007878947971
28,1.25,0.016,8.12654220455705
29,1.25,0,5.74576963716345
30,1.25,0.004,5.74000063282243
31,1.25,0.016,6.71844696965764
32,1.25,0.012,7.09846262021099
33,1.25,0.004,8.75135255551296
34,1.25,0,6.47470616391844
35,1.25,0,4.26523828897964
36,1.25,0.004,5.16533964710219
12,1.5,0.044,36.2251877428557
13,1.5,0.02,35.850028217138
14,1.5,0.016,36.8995185000156
15,1.5,0.008,36.5754135168566
16,1.5,0.016,37.8039208503533
17,1.5,0.012,36.5005394892707
18,1.5,0.012,38.164094656215
19,1.5,0.004,36.5404336966529
20,1.5,0.004,37.0255455280494
21,1.5,0.008,35.8760922262864
22,1.5,0.004,35.4369842966161
23,1.5,0.008,36.5632630635532
24,1.5,0.008,36.624629596555
25,1.5,0,36.9577024894956
26,1.5,0,36.4718347196234
27,1.5,0,36.6833817611077
28,1.5,0,37.5056062956506
29,1.5,0,38.5704425469448
30,1.5,0,39.047241777801
31,1.5,0,35.8994134578338
32,1.5,0,40.3858170923099
33,1.5,0,37.4270185505224
34,1.5,0,37.024801864276
35,1.5,0.004,34.6000223547609
36,1.5,0,36.3274640215193
12,1.75,0.032,64.5773170028469
13,1.75,0,67.2169237341844
14,1.75,0.02,67.2095870503336
15,1.75,0,67.7760595336007
16,1.75,0.008,66.2119977997233
17,1.75,0.012,65.2150576044351
18,1.75,0.004,66.2456249883848
19,1.75,0.008,67.2395806522153
20,1.75,0,70.1580551431398
21,1.75,0.004,65.59328491861
22,1.75,0,67.3346555556179
23,1.75,0.008,65.6835610197974
24,1.75,0.004,66.8643447354888
25,1.75,0,67.2862398552627
26,1.75,0,66.8554816173245
27,1.75,0,67.6421404058388
28,1.75,0,66.6566783282644
29,1.75,0,66.1830932093915
30,1.75,0,69.8994747278697
31,1.75,0,66.0301068216997
32,1.75,0,65.9078493516342
33,1.75,0,66.0110823313326
34,1.75,0,66.0755389245125
35,1.75,0,66.8536935154047
36,1.75,0,68.961896985282
12,2,0.008,96.3891150278857
13,2,0,97.4405707098543
14,2,0.004,96.5416011988352
15,2,0.008,96.971159237197
