"u","c","prob_ruina","utilidad_prom"
12,0.5,0.948,-28.1949133549089
13,0.5,0.948,-29.7114575976527
14,0.5,0.896,-31.9007132700842
15,0.5,0.928,-33.6495152243185
16,0.5,0.896,-35.4137264522246
17,0.5,0.896,-35.9842770568484
18,0.5,0.888,-37.5339899178908
19,0.5,0.876,-40.7881350777924
20,0.5,0.876,-42.5501710203321
21,0.5,0.844,-44.2155188111826
22,0.5,0.844,-45.6420176436506
23,0.5,0.8,-46.4368248731097
24,0.5,0.824,-48.0792892095939
25,0.5,0.764,-49.7021840373192
26,0.5,0.792,-51.7089513339019
27,0.5,0.832,-51.8088203350563
28,0.5,0.828,-53.9785420997502
29,0.5,0.716,-54.8871305793989
30,0.5,0.696,-56.5410853160902
31,0.5,0.728,-57.4124812460059
32,0.5,0.732,-58.4615632218602
33,0.5,0.68,-59.4434835399101
34,0.5,0.648,-61.4479706387218
35,0.5,0.668,-62.2514701954916
36,0.5,0.668,-63.3115281544781
12,0.75,0.692,-31.6316766903332
13,0.75,0.64,-31.0917166181183
14,0.75,0.68,-32.1569921680089
15,0.75,0.624,-33.9966984691455
16,0.75,0.592,-33.721494643722
17,0.75,0.544,-35.9914312394492
18,0.75,0.588,-37.806850929271
19,0.75,0.52,-39.5030920175871
20,0.75,0.544,-39.7317493308538
21,0.75,0.48,-40.3617500813271
22,0.75,0.488,-41.3610795534587
23,0.75,0.428,-42.1669495305783
24,0.75,0.448,-42.999961827175
25,0.75,0.368,-43.5364328204207
26,0.75,0.38,-44.4123042969078
27,0.75,0.368,-45.4772079712261
28,0.75,0.356,-46.4170656263002
29,0.75,0.376,-47.1165775969873
30,0.75,0.284,-47.4914281077192
31,0.75,0.312,-45.926643632653
32,0.75,0.292,-49.2577350038179
33,0.75,0.24,-47.2515609758047
34,0.75,0.264,-48.8521895830402
35,0.75,0.204,-47.2289443703374
36,0.75,0.188,-49.1988815516099
12,1,0.368,-18.8813697016527
13,1,0.356,-19.2394908405825
14,1,0.324,-18.3655231045236
15,1,0.272,-21.5281109605948
16,1,0.256,-17.6022114551725
17,1,0.216,-19.1180777395774
18,1,0.204,-22.0517462982136
19,1,0.2,-23.2530419874295
20,1,0.184,-20.1685918332337
21,1,0.2,-22.9159641804147
22,1,0.12,-22.095247726851
23,1,0.176,-23.5680473325423
24,1,0.168,-21.7569608643737
25,1,0.124,-21.7388377752845
26,1,0.076,-20.5483985558283
27,1,0.08,-23.6293479119471
28,1,0.1,-24.2361978591602
29,1,0.072,-22.748818941826
30,1,0.084,-23.0903372959299
31,1,0.068,-25.6197697911678
32,1,0.08,-25.4235923180716
33,1,0.068,-24.8180022804426
34,1,0.076,-23.2482450619035
35,1,0.044,-23.1059305413046
36,1,0.06,-25.2135095859315
12,1.25,0.14,5.83394745121625
13,1.25,0.152,4.56517678367721
14,1.25,0.14,5.17852651259448
15,1.25,0.124,1.48330223766673
16,1.25,0.052,6.32638613161311
17,1.25,0.056,7.18289750939469
18,1.25,0.052,6.26627501138355
19,1.25,0.056,5.52562277288356
20,1.25,0.036,5.29867548224944
21,1.25,0.02,7.85000246351719
22,1.25,0.036,3.88373805454537
23,1.25,0.052,2.71435457328949
24,1.25,0.036,5.78243786810368
25,1.25,0.044,5.62068983295074
26,1.25,0.032,5.69844733319948
27,1.25,0.012,7.62369549220178
28,1.25,0.02,7.56593236568289
29,1.25,0.028,3.39328730617769
30,1.25,0.012,7.27118455022499
31,1.25,0.012,6.63047981425272
32,1.25,0.012,5.7147637518685
33,1.25,0.012,4.54260183357381
34,1.25,0.016,3.21981055716015
35,1.25,0,8.90107297696319
36,1.25,0,7.02336778306278
12,1.5,0.088,32.6084231457402
13,1.5,0.092,32.6814210826352
14,1.5,0.048,33.9823502121953
15,1.5,0.052,34.2210549443857
16,1.5,0.032,33.5666089228763
17,1.5,0.028,36.6804997290444
18,1.5,0.024,36.0532355865052
19,1.5,0.016,37.1399319664912
20,1.5,0,36.2511513624142
21,1.5,0.016,32.3618012130096
22,1.5,0.012,34.8734871608351
23,1.5,0.012,36.1128025417121
24,1.5,0,35.6314421557118
25,1.5,0.012,33.2328168260226
26,1.5,0.012,32.4233071077482
27,1.5,0,33.5004764153581
28,1.5,0,35.7569119066883
29,1.5,0,38.2829160421024
30,1.5,0,35.9763524209972
31,1.5,0.004,34.1953226441357
32,1.5,0,37.3198881903498
33,1.5,0,35.365131988659
34,1.5,0.004,34.1411358430962
35,1.5,0,35.207843181737
36,1.5,0.004,36.0938483929864
12,1.75,0.044,62.570604114535
13,1.75,0.044,61.6846982389498
14,1.75,0.04,62.3669383276073
15,1.75,0.012,63.4109527382799
16,1.75,0.008,63.9885781962358
