"u","c","prob_ruina","utilidad_prom"
12,0.5,1,-13.8876391055366
13,0.5,1,-15.1400004518095
14,0.5,1,-16.3184372185231
15,0.5,1,-16.9685613268319
16,0.5,1,-17.998150339549
17,0.5,1,-19.0793702104154
18,0.5,1,-20.0485173323414
19,0.5,1,-20.8969763173698
20,0.5,1,-21.8334948900434
21,0.5,1,-22.965704400005
22,0.5,1,-23.6395087047806
23,0.5,0.996,-24.9155106869808
24,0.5,1,-25.9214444651509
25,0.5,1,-26.9619400880008
26,0.5,0.996,-28.0320419164082
27,0.5,1,-29.0432891588028
28,0.5,0.992,-29.963081233561
29,0.5,1,-30.9079841057023
30,0.5,0.996,-31.8316083256857
31,0.5,0.996,-32.8024577491208
32,0.5,1,-34.1021946164939
33,0.5,0.988,-35.0054935978912
34,0.5,0.992,-35.8082307653748
35,0.5,0.992,-37.0223290853318
36,0.5,0.992,-37.882027350976
12,0.75,0.988,-13.9377591333881
13,0.75,0.992,-14.906876457743
14,0.75,0.984,-15.7309338694866
15,0.75,0.976,-16.7004168478674
16,0.75,0.96,-17.484972938331
17,0.75,0.964,-18.5342299864142
18,0.75,0.98,-19.7310192910098
19,0.75,0.968,-20.5727094240113
20,0.75,0.944,-21.4602867229798
21,0.75,0.944,-22.1092909749085
22,0.75,0.956,-23.2485866834374
23,0.75,0.944,-23.9450820904066
24,0.75,0.92,-24.8248481460344
25,0.75,0.936,-26.2291386811295
26,0.75,0.92,-27.094617552407
27,0.75,0.924,-27.4606689630345
28,0.75,0.896,-28.2290974858197
29,0.75,0.904,-29.3570098533003
30,0.75,0.9,-30.7134687672595
31,0.75,0.844,-30.8296151982453
32,0.75,0.888,-32.5824985976195
33,0.75,0.832,-32.2152549494862
34,0.75,0.868,-33.9419586181747
35,0.75,0.816,-33.7831050835407
36,0.75,0.792,-34.5102378364749
12,1,0.856,-11.1787269641523
13,1,0.82,-11.1095418106224
14,1,0.824,-11.5824368078449
15,1,0.824,-13.8314615787084
16,1,0.736,-11.5216264381361
17,1,0.748,-12.7283771500792
18,1,0.744,-14.69600990189
19,1,0.752,-15.0636293356865
20,1,0.676,-14.3579733750889
21,1,0.68,-16.1045856606154
22,1,0.636,-16.0318892736668
23,1,0.672,-16.7714864272859
24,1,0.62,-16.2215231784773
25,1,0.56,-16.1741284000858
26,1,0.508,-15.6218119307517
27,1,0.568,-17.4216740631552
28,1,0.548,-18.2487421803453
29,1,0.512,-18.5162029081952
30,1,0.508,-19.2453458634468
31,1,0.548,-21.0610102343207
32,1,0.504,-20.974794738273
33,1,0.44,-19.4460834685269
34,1,0.404,-19.6960390348099
35,1,0.424,-20.2945063123703
36,1,0.424,-21.7524873165316
12,1.25,0.5,4.11233753887706
13,1.25,0.48,3.56615079097612
14,1.25,0.456,3.87411838088552
15,1.25,0.492,1.23783306419961
16,1.25,0.356,5.59031868824047
17,1.25,0.328,6.63419990474506
18,1.25,0.336,5.71529138969564
19,1.25,0.312,4.35177651932156
20,1.25,0.328,3.96332437395959
21,1.25,0.256,7.07820734639839
22,1.25,0.288,4.00019427699747
23,1.25,0.296,2.41639439202911
24,1.25,0.248,4.98328739775502
25,1.25,0.232,4.81652830128976
26,1.25,0.228,6.06275979457037
27,1.25,0.184,6.42556714711393
28,1.25,0.14,7.04676143827702
29,1.25,0.196,3.89823318642899
30,1.25,0.18,6.5432510286196
31,1.25,0.132,6.5929822778652
32,1.25,0.14,5.69934440930347
33,1.25,0.124,4.16929070669569
34,1.25,0.172,3.03680751036596
35,1.25,0.08,8.66322724299374
36,1.25,0.084,6.54159335618779
12,1.5,0.26,27.757110031778
13,1.5,0.236,29.887405938217
14,1.5,0.196,29.5422968159332
15,1.5,0.204,30.314722540581
16,1.5,0.148,31.6883727942368
17,1.5,0.116,34.2137528576151
18,1.5,0.116,33.7649242962834
19,1.5,0.068,36.0010379420103
20,1.5,0.084,34.4499754759641
21,1.5,0.088,31.673023471412
22,1.5,0.092,32.7447523646129
23,1.5,0.052,35.2625921342501
24,1.5,0.048,34.743724808688
25,1.5,0.096,31.317918015871
26,1.5,0.06,31.7187871827823
27,1.5,0.06,32.5322932237225
28,1.5,0.036,35.112299402787
29,1.5,0.016,37.970009342797
30,1.5,0.012,35.9218043990659
31,1.5,0.036,33.6854720306829
32,1.5,0.012,37.2485045290707
33,1.5,0.02,35.0193536573506
34,1.5,0.02,33.7867264394944
35,1.5,0.024,34.4299712294129
36,1.5,0.004,36.2068074529013
12,1.75,0.1,59.5800169741207
13,1.75,0.148,56.0817110410986
14,1.75,0.084,60.3625549578429
15,1.75,0.068,60.1849488054086
16,1.75,0.08,60.1242961851645
17,1.75,0.028,65.6687539764779
18,1.75,0.028,65.3943845439725
19,1.75,0.024,66.8467340920396
20,1.75,0.032,61.5894523922305
21,1.75,0.028,66.6299691039472
22,1.75,0.032,65.1207004266127
23,1.75,0.02,63.0051423302404
24,1.75,0.012,68.0630838307201
25,1.75,0.012,62.5175371458161
26,1.75,0.008,66.9187290497164
27,1.75,0.008,66.1640989528769
28,1.75,0.008,66.39880693599
29,1.75,0.004,65.1578736424015
30,1.75,0.012,64.9198741769666
31,1.75,0.004,67.9324172445496
32,1.75,0.004,64.2793091750469
33,1.75,0.004,66.9716860996803
34,1.75,0.008,64.1296610200044
35,1.75,0.008,65.7096614826581
36,1.75,0,63.7508663230443
12,2,0.056,91.3368851893658
13,2,0.036,92.4897934865994
14,2,0.028,93.7093115623328
15,2,0.028,94.2335330129464
16,2,0.028,94.0602423132286
17,2,0.012,95.6489417291275
18,2,0.008,95.7183215857699
19,2,0.012,94.5467819917307
20,2,0.02,94.3717786569678
21,2,0.012,92.5798823345352
22,2,0.012,95.6704579396224
23,2,0.008,95.0882185009529
24,2,0.008,91.7643779955831
25,2,0.012,95.6360100643591
26,2,0,98.6293127010884
27,2,0.008,94.4269889858593
28,2,0.004,91.7358570208941
29,2,0,95.8499430952849
30,2,0,96.3370722662048
31,2,0,95.0950045180054
32,2,0,95.463993954603
33,2,0,96.9672075878525
34,2,0,94.732510866956
35,2,0.004,95.3979523340193
36,2,0,95.0357324617786
12,2.25,0.044,121.193469103921
13,2.25,0.028,121.475037381029
14,2.25,0.016,125.485066426776
15,2.25,0.024,124.732939461357
16,2.25,0.012,124.270317982622
17,2.25,0.008,126.028168322925
18,2.25,0.008,126.1802337087
19,2.25,0,126.978930107819
20,2.25,0.008,124.935923356465
21,2.25,0.008,128.307914646385
22,2.25,0.004,122.732349271012
23,2.25,0,126.97314607201
24,2.25,0.008,122.543449235644
25,2.25,0,125.688120642181
26,2.25,0.004,124.52166875974
27,2.25,0,127.587629112045
28,2.25,0,124.668779620697
29,2.25,0.008,126.186247466622
30,2.25,0,125.119106582369
31,2.25,0,125.407445089891
32,2.25,0,123.676558248283
33,2.25,0,124.924859196609
34,2.25,0,128.058882108064
35,2.25,0,126.434001955097
36,2.25,0,125.317424576753
12,2.5,0.024,154.206173013287
13,2.5,0.036,151.062041136571
14,2.5,0.012,155.870279308168
15,2.5,0.008,153.569353273782
16,2.5,0.008,155.395381670443
17,2.5,0.004,156.601665666442
18,2.5,0.004,154.271913272179
19,2.5,0.004,153.670684295072
20,2.5,0.004,155.973453210605
21,2.5,0.004,153.464192901427
22,2.5,0.004,156.69595643937
23,2.5,0,154.986348620413
24,2.5,0,156.358531380901
25,2.5,0,157.463739851203
26,2.5,0,158.985678413432
27,2.5,0,156.398678269846
28,2.5,0,157.570432540135
29,2.5,0,156.727552686097
30,2.5,0,157.424026244893
31,2.5,0.004,156.794631247336
32,2.5,0,157.549066641694
33,2.5,0,155.954823922452
34,2.5,0,155.677172631913
35,2.5,0,158.223721365132
36,2.5,0,156.010571888839
12,2.75,0.012,185.747189617065
13,2.75,0.008,183.805305497233
14,2.75,0,184.653891473537
15,2.75,0.004,185.550656873067
16,2.75,0,183.866676255926
17,2.75,0,188.457504223955
18,2.75,0,185.440125731031
19,2.75,0.004,184.262315265736
20,2.75,0,184.959523009438
21,2.75,0,182.980238911373
22,2.75,0,186.215116329566
23,2.75,0,184.455091738316
24,2.75,0,186.382809980471
25,2.75,0,183.760907542307
26,2.75,0,185.108693530475
27,2.75,0,184.351336880114
28,2.75,0,187.302060636506
29,2.75,0,184.474031651135
30,2.75,0.004,186.11951772949
31,2.75,0,186.916596368873
32,2.75,0,186.029765430031
33,2.75,0,185.942132075806
34,2.75,0,186.210648855289
35,2.75,0,185.754074522441
36,2.75,0,186.187368091281
12,3,0.004,213.43469084778
13,3,0.008,215.792758145975
14,3,0,216.917653250511
15,3,0,213.830570705772
16,3,0.008,216.439934561911
17,3,0,216.292105946365
18,3,0,217.15516699385
19,3,0,219.024086672448
20,3,0.004,214.140838055113
21,3,0.004,215.602181572937
22,3,0.004,212.947646422341
23,3,0,215.203738196174
24,3,0,215.016203110524
25,3,0,217.777376279946
26,3,0,216.89470805031
27,3,0,215.555096615048
28,3,0,215.328405091171
29,3,0,214.993918231498
30,3,0,217.167671845513
31,3,0,213.868270028624
32,3,0,212.689346663549
33,3,0,216.566321347286
34,3,0,214.064264170779
35,3,0,214.559920580809
36,3,0,216.354098997861
