"u","c","prob_ruina","utilidad_prom"
12,0.5,0.972,-28.1092681784129
13,0.5,0.96,-31.1988097074113
14,0.5,0.98,-31.230071124877
15,0.5,0.968,-33.73352491284
16,0.5,0.96,-34.8919405198364
17,0.5,0.964,-38.3153539944849
18,0.5,0.96,-40.2437383040648
19,0.5,0.956,-42.5011060884112
20,0.5,0.96,-44.2234827800666
21,0.5,0.96,-43.5939119025997
22,0.5,0.932,-46.8157390293187
23,0.5,0.948,-49.0561989817338
24,0.5,0.908,-52.8338599209798
25,0.5,0.976,-53.0144323330665
26,0.5,0.944,-52.6136877918357
27,0.5,0.916,-54.2582562172224
28,0.5,0.9,-56.5908730047611
29,0.5,0.912,-60.477117113681
30,0.5,0.912,-60.0833048855626
31,0.5,0.888,-63.8674040602468
32,0.5,0.852,-66.0196709384077
33,0.5,0.896,-67.600749872508
34,0.5,0.856,-66.4526419464979
35,0.5,0.836,-71.2837250132007
36,0.5,0.876,-69.7570752662164
12,0.75,0.796,-33.536125289968
13,0.75,0.768,-36.3653641180345
14,0.75,0.756,-39.2147657530693
15,0.75,0.74,-43.0616193913786
16,0.75,0.704,-44.6240350378652
17,0.75,0.752,-44.4528543183671
18,0.75,0.7,-46.6119104234109
19,0.75,0.704,-47.5898779369304
20,0.75,0.668,-49.5886784587589
21,0.75,0.624,-51.0041061536048
22,0.75,0.588,-51.7841784142902
23,0.75,0.544,-54.1839686642858
24,0.75,0.556,-55.0215648856829
25,0.75,0.608,-54.4935599440351
26,0.75,0.576,-57.7256829315271
27,0.75,0.552,-59.173501670264
28,0.75,0.492,-58.1995849370431
29,0.75,0.504,-60.4503979144187
30,0.75,0.488,-63.1766580316211
31,0.75,0.488,-63.3017801414147
32,0.75,0.504,-64.1685613702896
33,0.75,0.432,-65.2622101174661
34,0.75,0.464,-66.5191841950086
35,0.75,0.376,-64.8407232468418
36,0.75,0.368,-66.9562554995637
12,1,0.432,-24.8893863023717
13,1,0.36,-26.1956130794783
14,1,0.412,-27.0383125869004
15,1,0.4,-26.8400477156739
16,1,0.332,-29.3356038964253
17,1,0.336,-30.1850234319826
18,1,0.284,-27.1502471736382
19,1,0.248,-30.5855031624512
20,1,0.256,-31.9238041728008
21,1,0.192,-30.6399357397154
22,1,0.208,-30.0008341652878
23,1,0.192,-32.8004369199202
24,1,0.192,-31.8021913964808
25,1,0.168,-29.5269761309267
26,1,0.148,-30.443113968068
27,1,0.108,-32.7297472811528
28,1,0.168,-34.6023648107841
29,1,0.1,-30.5709786087477
30,1,0.12,-31.8627313656067
31,1,0.084,-36.7154553136092
32,1,0.092,-31.4405807450459
33,1,0.108,-34.6626441054643
34,1,0.116,-35.7459675607064
35,1,0.08,-37.6064498250749
36,1,0.072,-32.087019896795
12,1.25,0.224,5.26384254290391
13,1.25,0.188,7.19489896437649
14,1.25,0.14,9.16695175470627
15,1.25,0.124,6.94492886320569
16,1.25,0.128,6.29028661528231
17,1.25,0.112,7.83583580286863
18,1.25,0.1,6.8544819499923
19,1.25,0.072,6.48685825328718
20,1.25,0.044,11.1261385201491
21,1.25,0.076,6.60836047388091
22,1.25,0.044,8.07483853917603
23,1.25,0.032,10.2964676885607
24,1.25,0.044,8.06786997287566
25,1.25,0.044,8.22052809055468
26,1.25,0.02,13.1568638492008
27,1.25,0.016,11.3799395749579
28,1.25,0.028,10.4720791882182
29,1.25,0.036,11.8784074497923
30,1.25,0.024,10.8476291403366
31,1.25,0.004,6.55496301887623
32,1.25,0.024,6.61418475061444
33,1.25,0.008,11.0994510762312
34,1.25,0.004,11.3356047128193
35,1.25,0.02,7.23070231754543
36,1.25,0.008,10.0253515776672
12,1.5,0.084,49.0088871613307
13,1.5,0.072,48.5635031067305
14,1.5,0.068,50.9078908367996
15,1.5,0.056,52.8401180140999
16,1.5,0.036,52.0022057875928
17,1.5,0.036,54.6182751734149
18,1.5,0.02,53.2183642594267
19,1.5,0.04,51.8336405709774
20,1.5,0.016,55.5734046188335
21,1.5,0.02,53.5088566659025
22,1.5,0.028,53.7365098568774
23,1.5,0.02,53.0711039357083
24,1.5,0.008,55.9362849732249
25,1.5,0.012,52.0226744466273
26,1.5,0.012,51.4663143022227
27,1.5,0.02,55.4101762766143
28,1.5,0,54.7622453363317
29,1.5,0.016,50.3759510162599
30,1.5,0.004,52.1822021490479
31,1.5,0,55.5530871713512
32,1.5,0,53.5814300393845
33,1.5,0,55.8966630534108
34,1.5,0.004,57.901997603495
35,1.5,0,54.9921515230922
36,1.5,0.004,54.6931856290224
12,1.75,0.06,95.1571316833355
13,1.75,0.024,95.9747269185236
14,1.75,0.04,97.9024790061084
15,1.75,0.024,99.1159885305765
16,1.75,0.016,98.3270282242569
17,1.75,0.02,94.0183778712104
18,1.75,0.02,98.0817865496875
19,1.75,0.004,98.6887712202482
20,1.75,0.012,101.492599718681
21,1.75,0.008,99.0456604589248
22,1.75,0.004,98.0257002991513
23,1.75,0.012,97.3700006384975
24,1.75,0,99.7371658341019
25,1.75,0.004,95.9787733473789
26,1.75,0,100.723808006704
27,1.75,0.008,97.423400089765
28,1.75,0,98.5191049650242
29,1.75,0.012,95.9654462390247
30,1.75,0,97.6253530251164
31,1.75,0,99.7826186686291
32,1.75,0,101.678518167554
33,1.75,0,100.278933453339
34,1.75,0,99.1277177377347
35,1.75,0,99.6343424262482
36,1.75,0,99.6411595245843
12,2,0.04,138.20469100428
13,2,0.024,138.224133201877
14,2,0.008,141.476939182484
15,2,0.008,142.647171511167
16,2,0.016,140.224526544216
17,2,0.016,143.738785588569
18,2,0.008,143.966961101017
19,2,0.008,144.747689729806
20,2,0.004,144.236714064007
21,2,0.004,143.035423537485
22,2,0,143.272913690636
23,2,0.004,143.402799431534
24,2,0,141.950727086158
25,2,0.004,144.454121288443
26,2,0,142.228153661326
27,2,0,143.807313190896
28,2,0,144.912521658488
29,2,0,145.0116330007
30,2,0,146.257772557784
31,2,0,141.495680187316
32,2,0.004,142.028914752217
33,2,0,140.335501853023
34,2,0,142.99587724655
35,2,0,146.579583846032
36,2,0,145.016437945079
12,2.25,0.008,188.021113758239
13,2.25,0.004,189.114155981447
14,2.25,0.012,186.306786529504
15,2.25,0.004,186.7578203972
16,2.25,0.008,183.998245110376
17,2.25,0.012,186.494014090446
18,2.25,0.004,191.410381281874
19,2.25,0,191.760817115385
20,2.25,0.004,187.985669304804
21,2.25,0.008,186.651724928712
22,2.25,0,192.608703628803
23,2.25,0,189.37327330995
24,2.25,0,190.734899749227
25,2.25,0,191.293297345374
26,2.25,0,191.596245332552
27,2.25,0,188.988742605771
28,2.25,0,190.467389455239
29,2.25,0,190.160790410141
30,2.25,0,188.243108417035
31,2.25,0,188.060305017798
32,2.25,0,189.151095249215
33,2.25,0,188.151740657956
34,2.25,0,190.761741213681
35,2.25,0,186.857253911328
36,2.25,0,185.715708943518
12,2.5,0.02,231.763622102019
13,2.5,0.012,229.351630978745
14,2.5,0.008,228.510079558336
15,2.5,0,237.114469184858
16,2.5,0.008,234.635629437452
17,2.5,0.004,237.181144687331
18,2.5,0.004,229.709101006538
19,2.5,0.004,232.543093844501
20,2.5,0,232.646579018372
21,2.5,0,233.458257438229
22,2.5,0,235.856981975507
23,2.5,0,233.480848638726
24,2.5,0,236.044838970746
25,2.5,0,238.673994778562
26,2.5,0,234.980789038579
27,2.5,0,234.72927451026
28,2.5,0,234.13098409206
29,2.5,0,231.337394216764
30,2.5,0,237.207358712218
31,2.5,0,233.656404287663
32,2.5,0,234.044321865846
33,2.5,0,231.894351400482
34,2.5,0,235.722458976016
35,2.5,0,236.047124973805
36,2.5,0,234.741164920789
12,2.75,0.004,279.992488738846
13,2.75,0.004,275.726147563948
14,2.75,0.004,278.931697998235
15,2.75,0.008,278.362933419792
16,2.75,0.004,275.951951793562
17,2.75,0,276.444847800546
18,2.75,0,279.485815148295
19,2.75,0.004,280.580346354539
20,2.75,0,279.578139696975
21,2.75,0,276.88751580019
22,2.75,0,279.304541321136
23,2.75,0,280.733959613956
24,2.75,0,279.397212590621
25,2.75,0,278.66627918084
26,2.75,0,276.608714714484
27,2.75,0,282.401483940825
28,2.75,0,280.377529295487
29,2.75,0,279.969527849985
30,2.75,0,277.992981173902
31,2.75,0,277.533860683187
32,2.75,0,277.374569910266
33,2.75,0,281.695746293973
34,2.75,0,277.538157971283
35,2.75,0,277.913044846341
36,2.75,0,278.223062573017
12,3,0.02,316.400293531161
13,3,0,322.771007785171
14,3,0.008,318.71989996974
15,3,0,325.640875316921
16,3,0.008,322.149785759371
17,3,0,324.06118555181
18,3,0,322.317093294701
19,3,0.004,323.542783600085
20,3,0,323.856415016043
21,3,0,326.409932682722
22,3,0,323.006852922038
23,3,0,322.673479912495
24,3,0,323.192798784934
25,3,0.004,321.027056005941
26,3,0,322.010320349718
27,3,0,322.202761674905
28,3,0,324.159550409348
